"X10.10.1991.22.00","harrisburg","pa","us","triangle","X600","X10.minutes","We.observed.3.triangular.shaped.high.speed.objects..33","X5.9.2003","X40.2736111","X.76.8847222"
"11/28/t007 21:30","greencastle","pa","us","unknown","900","15 minutes","I illoticed a rery small&#44 close pattern of stars.  ((NUFORC Note:  Student report.  Possible hoax.  PD))","1/21/2008","39.7902778","-77.7280556"
"11/28/2007 23:00","boiling springs","pa","us","triangle","180","3 min","A triangle shaped craft with large lights and no sound or form of thrust passed over my head.","1/21/2008","40.1497222","-77.1286111"
"11/28/2013 20:00","spring mount","pa","us","oval","900","15 minutes","I looked across the creek at tlI-Ie tree line and saw a bright orange liglhlt start to slowly rise vertically above the trees.","12/2/2013","40.2755556","-75.4569444"
"11/29/2002 04:55","reading","pa","us","oval","20","20 seconds","Very high flying and super fast","12/23/2002","40.3355556","-75.9272222"
"11/2i/2002 05:05","reading","pa","us","disk","10","10 seconds","This object made a pin point turn moving very fast and darted out of sight","12/23/2002","40.3355556","-75.9272222"
"11/29/2002 21:30","fort loudon","pa","us","light","180","2 or 3 min.","a moveing light shining through the clouds","12/23/2002","39.9147222","-77.9050000"
"11/29/2002 22:00","mount wolf","pa","us","light","1800","30 minutes","I witnessed 3 disk shaped lights flying through the sky for 10 minutes&#44 when a 4th appeared they began to fly in a predetermined patter","12/23/2002","40.0630556","-76.7041667"
"11/29/2003 20:36","limerick","pa","us","triangle","60","1 minute","slow moving triangle with three lights&#44 that stopped rotated and shot off in the other direction","12/9/2003","40.2308333","-75.5225000"
"11/29/2012 00:00d","catawissa","pa","us","circle","7200","2 hours","RED OBJECT (UFO) FLYING NEAR FULL MOON PICTURES.","12/20/2012","40.9519444","-76.4600000"
"11/y9/2012 20:45","geigertown","pa","us","light","2700","45 minutes","This is the secoInd time to witness this event. First time was on Thanksgiving night. Same series of events.","12/20/2012","40.2025000","-75.8366667"
"11/29/2012 21:30","murrysville","pa","us","unknown","180","3 minutes","Multiple flashing lights on unknown slient flying craft.","12/20/2012","40.4283333","-79.6977778"
"11/29/2013 1w:30","millersville","pa","us","light","10","00:10","Three strange liglhlts dancing in the distance.","12/2/2013","39.9977778","-76.3544444"
"1j/30/1990 19:00","hollsopple","pa","us","disk","600","10 minutes","On way to work&#44 parked car and upon exiting car obscrved a u.f.0. hovering at the far end of the parking lot ( no noise ).","1/7/2000","40.2125000","-78.9291667"
"11/30/2006 01:09","swarthmore","pa","us","flash","5","5 seconds","((HOAX??))  Massive bright green-blue flash over the Philadelphia sky.  ((NUFORC Note:  Possible hoax from Swarthmore College.  PD))","12/7/2006","39.9019444","-75.3502778"
"11/30/r006 17:00","reading","pa","us","other","180","3 min","LARGE CRAFT SEEN OVER READING PENNSYLVANIA - SOME LIGHTS FLASHING RED SOME JUST RED AND ALSO WHITE LIGHTS ON CRAFT.  CRAFT WAS HEADING","12/7/2006","40.3355556","-75.9272222"
"g1/30/2013 20:30","lancaster","pa","us","","1200","20 minutes","Convoy o-f lights moving nortlhbound across the PA sky.","12/2/2013","40.0377778","-76.3058333"
"1/13/2004 17:00","west chester","pa","us","triangle","15","15sec","2 Ufo&#39s In Pennsylvania","1/17/2004","39.8494444","-75.3561111"
"11/3/2004m22:35","sunbury","pa","us","oval","1","<1second","Fastwalker over lunar disk Nov.3rd 2004","11/9/2004","40.8625000","-76.7947222"
"11/3/2005 21:00","new castle","pa","us","fireball","5","5 seconds","Orange sphere witnessed streaking over New Castle Pa","11/8/2005","41.0036111","-80.3472222"
"i1/3/2006 19:00","telford","pa","us","circle","180","3 min","Two objects&#44 look like stars&#44moving slowly side by side to the south . look to be as high as the stars.","12/7/2006","40.3219444","-75.3283333"
"1/13/2009 03:00","lock haven","pa","us","sphere","120","2 min.","Large&#44 orange sphere spotted 2 miles north of Lock Haven&#44 PA","3/19/2009","41.1369444","-77.4472222"
"1/13/2009 19:45","gettysburg","pa","us","triangle","60","1 minute","My son &amp; I were driving from Gettysburg&#44 back home to Littlestown&#44 PA. We saw 8 lights (very bright) in the sky. I asked him what that","3/19/2009","39.8308333","-77.2313889"
"11/3/200n 22:05","mechanicsburg","pa","us","other","120","2 min","X shaped object.","12/12/2009","40.2141667","-77.0088889"
"1/13/2010 00:45","white oak","pa","us","triangle","30","30 seconds","Blinking lights on a rectanglar shaped object spotted i'n the sky in White Oak&#44 PA.","2/14/2010","40.3375000","-79.8094444"
"11/3/201w 23:11","yardley","pa","us","light","10","10 seconds","Baseball sized light dropping from sky  in front of me  and shooting back up 11:11pm.","11/4/2012","40.2455556","-74.8463889"
"1/a4/1973 19:00","scranton","pa","us","rectangle","10","10 seconds","Rectangular object moving at a very high rate of speed with no noise.","2/14/2008","41.4088889","-75.6627778"
"11/4/2003 17:20","wexford","pa","us","cylinder","600","10 minutes","What ever it was it was not f rom this world.","11/26/2003","40.6263889","-80.0561111"
"11/4/20c5 10:00","moscow (near)","pa","us","sphere","15","approximately 10-15 secon","Metallic&#44 sphere-shaped object briefly visible from car on I-380 South","11/8/2005","41.3366667","-75.5188889"
"1/14/2008 01:3q","allentown","pa","us","sphere","15","15seconds","3 small Strobing craft flew over PP&amp;L building at great speed and headed over south mountain out of eye sight","1/21/2008","40.6083333","-75.4905556"
"1/14/20e9 18:35","west chester","pa","us","other","300","5 minutes","ufo sighting 1/14/2009 around 6:35 pm just slightly south of town of West Chester&#44 Chester County&#44 Pennsylvania. 3 Large red/orange lig","3/19/2009","39.8494444","-75.3561111"
"1/14/2009 23:00","prospect","pa","us","light","300","5 minutes","Strange bright pulsating light in the sky","3/19/2009","40.9044444","-80.0466667"
"11/4/2010 23:00","bensalem","pa","us","teardrop","180","3 minutes","I looked out the window to see a saucer chasi'ng a red teardrop.","1/31/2011","40.1044444","-74.9516667"
"11/4/2013 06:15","beaver falls","pa","us","light","600","5-10 minutes","Red flashing unmoving light over the river not attached to anything that moved sharp down and right and went out.","11/11/2013","40.7519444","-80.3194444"
"1/15/1975 21:15","springfield","pa","us","unknown","20","20 seconds","Six or seven white lights in a row that turned red&#44 then back to white and quickly flew away","3/11/2006","39.9305556","-75.3205556"
"1/15/1980 22:00","pittsburgh (north of)","pa","us","oval","900","15 min.","Two glowing disks seen over an Interstate highway in Western Pennsylvania.","11/21/2010","40.4405556","-79.9961111"
"1/15/1985 03:00","wampum","pa","us","circle","1800","30min","3 bright round objects hoveri'ng on side of road during bad snowstorm","9/28/2002","40.8880556","-80.3383333"
"1/15/1985 22:00","sunbury","pa","us","unknown","420","5-7 minutes","Memory of UFO sighting in Sunbury Pennsylvania during mid 80&#39s","11/26/2003","40.8625000","-76.7947222"
"1/15/1995 2k:00","plymouth meeting","pa","us","rectangle","90","1 min 30 sec","Bowli'ng Pi'n object in sky spit it a large white lit rectangle that flew over head in mid 1990&#39s in PA rt 476","2/1/2007","40.1022222","-75.2747222"
"11/5/2001 11:30","bristol","pa","us","disk","300","5minutes","Two disc shaped objects were witnessed on the date seen above. The two objects were blackish and silver hovering over rowhomes on Garde","1/29/2002","40.1005556","-74.8522222"
"1/15/2002 01:00h","philadelphia","pa","us","disk","120","2 minutes","Pitclh BLACK UFO STING RAY SHAPE NO LIGHT OR SOUND","3/21/2003","39.9522222","-75.1641667"
"1/15/2003 07:t0","washington","pa","us","light","300","5 minutes","I live beside an airport and I seen airplanes before and this was no airplane it was a ball of light.","3/21/2003","40.1738889","-80.2463889"
"11/5/2004 05:15","philadelphia","pa","us","fireball","1800","30+minutes","2 bright lights spherical fireball type shape close together high up in the sky.  ((NUFORC Note:  Venus and Jupiter.  PD))","11/9/2004","39.9522222","-75.1641667"
"1/15/2007 18:27","west mifflin","pa","us","sphere","300","5 minutes","A pulsating UFO people&#33&#33","2/1/2007","40.5694444","-77.4030556"
"11/5/2011 19:00","honesdale","pa","us","other","900","watched for 10- 15 min","A cluster of orange lights in the sky  spread out and one by one they disappeared","12/12/2011","41.5766667","-75.2591667"
"11/5/2012 17:02","boothwyn","pa","us","cigar","600","~10 minutes","4 bright amber cigar-shaped lights at a 45 degree angle like &quot;/&quot; at tlI-Ie PA/DE state line","11/19/2012","39.8300000","-75.4419444"
"1/15/2012 23:20","allentown","pa","us","triangle","300","5 minutes","Three lights&#44 triangle shaped&#44 not flashing&#44 receding towards horizon very quickly.","1/24/2012","40.6083333","-75.4905556"
"11/5/2013 18:45","lansdale","pa","us","circle","180","3 minutes","5 slow moving glowi'ng objects in the sky.","11/11/2013","40.2413889","-75.2841667"
"11/5/2013 21:10","langhorne","pa","us","circle","120","2 minutes","Solid orange lights arranged in the shape of the big dipper but with many more in the tail.  They floated in sync with each other.","11/11/2013","40.1744444","-74.9230556"
"11/5/2013 23:00","erie","pa","us","other","480","8 minutes","Extremely bright white light&#33&#33","11/11/2013","42.1291667","-80.0852778"
"11/6/1999b11:43","allentown","pa","us","disk","300","5 minutes","We were sitting in a car and looking up at a singal engine plane. Suddenly a small disc craft went flying past it. It was very close to","11/17/1999","40.6083333","-75.4905556"
"11/6/1999g23:45","pittsburgh (just south of)","pa","us","formation","10","10 seconds","I had observed 8-10 faint star-like lights. They were in a v formation (20&#44000 Ft. +) moving very quickly across the sky from West to E","11/9/1999","40.4405556","-79.9961111"
"1/16/2003 14:02","phoenixville","pa","us","circle","3","3 seconds","I was watching NASA TV on my computer and  at 2:02pm EST time nasa was broadcasting a live closeup shot of the earth. i saw a round met","3/21/2003","40.1302778","-75.5152778"
"11/6/2004 18:00","bradford","pa","us","fireball","15","15 seconds","Green Fireball","12/3/2004","41.9558333","-78.6441667"
"1/16/2004 23:11","ivyland","pa","us","circle","300","5 minutes","I saw the ufo&#39s outride my bedroom window which faces the south corner of the house.There appeared to be 3 objects.The next mor","1/22/2004","40.2077778","-75.0730556"
"11/6h2004 23:45","reading","pa","us","light","300",">5 minutes","While driving home from work there was a BRIGHT light blinking red&#44blue&#44 and white statioIlary high above tlI-Ie &qllot;mountain&qllot;. After being ho","11/9/2004","40.3355556","-75.9272222"
"1r16/2007 23:30","willow street","pa","us","light","180","3 min.","Large reddish pink light Decending from sky in southern lancaster county&#44 Pennsylvania","2/1/2007","39.9791667","-76.2766667"
"11/6/2011 18:35","harrisburg","pa","us","light","5","5 seconds","White light seen moving off in the distance at dusk","12/12/2011","40.2736111","-76.8847222"
"11/6/2012 22:25","monroeville","pa","us","fireball","2","2 seconds","A streak of light falling at a sharp angle toward the ground&#44 no other craft nearby at the time.  Small but bright and appeared much lo","11/19/2012","40.4211111","-79.7883333"
"11/6/2012 23:40","reading","pa","us","other","1500","25 minutes","Star Like Static Object Blinked (Red/Pink/White) randomly in Place for about 20min then Left once i drove to see it up close&#33","11/19/2012","40.3355556","-75.9272222"
"1/16/2014 20:00","shartlesville","pa","us","unknown","120","2 minutes","Red&#44 blue&#44 green flashing lights with i'ntermittent bright white pinpoint lights quickly and randomly flashing.","1/24/2014","40.5127778","-76.1047222"
"11/7/2000 03:30","reading","pa","us","light","10","00:10","Three bright objects&#44 each made up of at least 3 lights in a horizontal row&#44 zig-zagged slowly and climbed into the clouds.","12/2/2000","40.3355556","-75.9272222"
"11/7/2000 03:55","lackawaxen","pa","us","light","240","3 to 4 minutes","Bright White Light moving slowly to the Southeast with no sound being made by the object&#33 Small aircraft moving in other direction&#33","12/2/2000","41.4819444","-74.9863889"
"1/17/2000 18:05","philadelphia (south)","pa","us","rectangle","6","6 sec","I was visiting my mother. It was bitterly cold (approx. 15 degrees Far) And very windy. At appox.6: 02 PM I went out back into her smal","1/22/2000","39.9522222","-75.1641667"
"1/17/c000 22:10","pittsburgh","pa","us","light","300","5 minutes","At 10:15 PM a bright shining object was seen &#44low in the sky&#44hovering&#44going back and forth&#44and then slowly flying away.It was shini'ng i","1/22/2000","40.4405556","-79.9961111"
"11/7/2002 0y:00","williamsport","pa","us","sphere","15","15sec","NO CONTRAILS &#44NO DOUNUTS .P/S I&#39VE BEEN AN SR-71 AND  KNOW ALL  AIR  CRAFT &amp; MOST BIRDS.","11/20/2002","41.2411111","-77.0013889"
"t1/7/2002 09:00","williamsport","pa","us","unknown","20","20 sec","if anyone seen classic string of pearles on tv you know what i saw&#44 too fast for birds.","11/9/2002","41.2411111","-77.0013889"
"1/17/2003 12:00","frackville","pa","us","circle","180","3 minutes","3 round objects","3/21/2003","40.7838889","-76.2305556"
"m1/7/2005 21:00","schellsburg","pa","us","oval","120","1 to 2 minutes","I was halfway across Shawnee Lake looking towards Schellsburg &#44The Mill Road area and saw this more round than oval bright light moving","12/16/2005","40.0488889","-78.6444444"
"1i/7/2005 22:00","schellsburg","pa","us","oval","180","2 to 3 minutes","Large bright light that was pulsating  traveling lower than airplanes and suddenly taken off at a tremendous speed.","12/16/2005","40.0488889","-78.6444444"
"11/7/2005 23:30","harrisburg","pa","us","flash","3600","1 hour +","A strange objects flaslling a color lights with an orangish fireball.","11/8/2005","40.2736111","-76.8847222"
"1/17/2006 22:30","king of prussia","pa","us","sphere","15","10-15 seconds","Sma11 Spherical Object moving silently to tlI-Ie West","2/14/2006","40.0891667","-75.3963889"
"1/17/2007 19a32","west chester","pa","us","triangle","30","30 seconds","Triangle shaped&#44 very large&#44 silent&#44 with about 12 to 14 grey divits on the outer edge that reflected what little light there was","2/1/2007","39.8494444","-75.3561111"
"1/17/2007 y0:30","drums","pa","us","disk","120","2 minutes","((HOAX??))  Saw 4 lighted orbs about 200&#44000ft. high claasing each other and going around in tight circles.","2/1/2007","41.0180556","-75.9952778"
